프로골퍼	프로/NNG + 골퍼/NNG
7회	7/SN + 회/NNB
1사	1/SN + 사/NNG
만루에서	만루/NNG + 에서/JKB
제이슨	제이슨/NNP
베리텍의	베리텍/NNP + 의/JKG
유격수	유격수/NNG
땅볼로	땅볼/NNG + 로/JKB
3-1.	3/SN + -/SS + 1/SN + ./SF

양키스는	양키스/NNP + 는/JX
9회	9/SN + 회/NNB
마지막	마지막/NNG
공격에서	공격/NNG + 에서/JKB
대타	대타/NNG
루벤	루벤/NNP
시에라의	시에라/NNP + 의/JKG
솔로	솔로/NNG
홈런으로	홈런/NNG + 으로/JKB
추격했지만	추격/NNG + 하/XSV + 았/EP + 지만/EC
경기를	경기/NNG + 를/JKO
뒤집기엔	뒤집/VV + 기/ETN + 에/JKB + ㄴ/JX
역부족이었다.	역부족/NNG + 이/VCP + 었/EP + 다/EF + ./SF

남은	남/VV + 은/ETM
시간은	시간/NNG + 은/JX
1분24초.	1/SN + 분/NNB + 24/SN + 초/NNB + ./SF

2-3으로	2/SN + -/SS + 3/SN + 으로/JKB
뒤진	뒤지/VV + ㄴ/ETM
한라는	한라/NNP + 는/JX
골키퍼	골키퍼/NNG
김성배를	김성배/NNP + 를/JKO
빼고	빼/VV + 고/EC
이권준을	이권준/NNP + 을/JKO
투입하는	투입/NNG + 하/XSV + 는/ETM
마지막	마지막/NNG
승부수를	승부수/NNG + 를/JKO
띄웠다.	띄우/VV + 었/EP + 다/EF + ./SF

이후	이후/NNG
김우재,	김우재/NNP + ,/SP
김경태가	김경태/NNP + 가/JKS
쏜	쏘/VV + ㄴ/ETM
슛이	슛/NNG + 이/JKS
고려대	고려대/NNP
골키퍼	골키퍼/NNG
류운정의	류운정/NNP + 의/JKG
선방에	선방/NNG + 에/JKB
막혔다.	막히/VV + 었/EP + 다/EF + ./SF

종료	종료/NNG
20초	20/SN + 초/NNB
전	전/NNG
송동환이	송동환/NNP + 이/JKS
정면에서	정면/NNG + 에서/JKB
회심의	회심/NNG + 의/JKG
강슛을	강슛/NNG + 을/JKO
날렸지만,	날리/VV + 었/EP + 지만/EC + ,/SP
퍽은	퍽/NNG + 은/JX
골대	골대/NNG
오른쪽	오른쪽/NNG
포스트를	포스트/NNG + 를/JKO
살짝	살짝/MAG
빗나갔다.	빗나가/VV + 았/EP + 다/EF + ./SF

경기가	경기/NNG + 가/JKS
3대2	3/SN + 대/NNB + 2/SN
승리로	승리/NNG + 로/JKB
끝나자	끝나/VV + 자/EC
고려대는	고려대/NNP + 는/JX
얼음판에	얼음판/NNG + 에/JKB
글러브와	글러브/NNG + 와/JC
스틱을	스틱/NNG + 을/JKO
집어던지며	집어던지/VV + 며/EC
승리를	승리/NNG + 를/JKO
즐겼다.	즐기/VV + 었/EP + 다/EF + ./SF

고려대가	고려대/NNP + 가/JKS
14년	14/SN + 년/NNB
만에	만/NNB + 에/JKB
전국	전국/NNG
종합아이스하키	종합/NNG + 아이스하키/NNG
선수권대회(조선일보·스포츠조선·대한아이스하키	선수권/NNG + 대회/NNG + (/SS + 조선일보/NNP + ·/SP + 스포츠조선/NNP + ·/SP + 대한/NNP + 아이스하키/NNG
협회	협회/NNG
공동주최)	공동/NNG + 주최/NNG + )/SS
정상에	정상/NNG + 에/JKB
올랐다.	오르/VV + 았/EP + 다/EF + ./SF

고려대는	고려대/NNP + 는/JX
14일	14/SN + 일/NNB
서울	서울/NNP
목동아이스링크에서	목동아이스링크/NNP + 에서/JKB
열린	열리/VV + ㄴ/ETM
제58회	제/XPN + 58/SN + 회/NNB
대회	대회/NNG
한라	한라/NNP
위니아와의	위니아/NNP + 와/JKB + 의/JKG
결승에서	결승/NNG + 에서/JKB
송치영이	송치영/NNP + 이/JKS
1골	1/SN + 골/NNG
1어시스트로	1/SN + 어시스트/NNG + 로/JKB
맹활약하면서	맹활약/NNG + 하/XSV + 면서/EC
89년	89/SN + 년/NNB
대회	대회/NNG
이후	이후/NNG
14년	14/SN + 년/NNB
만이자	만/NNB + 이/VCP + 자/EC
대회	대회/NNG
통산	통산/NNG
여덟	여덟/NR
번째	번/NNB + 째/XSN
우승을	우승/NNG + 을/JKO
차지했다.	차지/NNG + 하/XSV + 았/EP + 다/EF + ./SF

실업팀이	실업/NNG + 팀/NNG + 이/JKS
참가한	참가/NNG + 하/XSV + ㄴ/ETM
전국대회에서	전국/NNG + 대회/NNG + 에서/JKB
고려대가	고려대/NNP + 가/JKS
우승한	우승/NNG + 하/XSV + ㄴ/ETM
것도	것/NNB + 도/JX
이번이	이번/NNG + 이/JKS
처음이다.	처음/NNG + 이/VCP + 다/EF + ./SF

고려대의	고려대/NNP + 의/JKG
패기는	패기/NNG + 는/JX
경기	경기/NNG
내내	내내/MAG
실업팀	실업/NNG + 팀/NNG
한라의	한라/NNP + 의/JKG
노련미를	노련미/NNG + 를/JKO
압도했다.	압도/NNG + 하/XSV + 았/EP + 다/EF + ./SF

1피리어드에서	1/SN + 피리어드/NNG + 에서/JKB
앞선	앞서/VV + ㄴ/ETM
체력과	체력/NNG + 과/JC
활발한	활발/XR + 하/XSA + ㄴ/ETM
스케이팅으로	스케이팅/NNG + 으로/JKB
한라를	한라/NNP + 를/JKO
위협하다가	위협/NNG + 하/XSV + 다가/EC
15분1초에	15/SN + 분/NNB + 1/SN + 초/NNB + 에/JKB
김근호가	김근호/NNP + 가/JKS
자신이	자신/NNG + 이/JKS
날린	날리/VV + ㄴ/ETM
슛이	슛/NNG + 이/JKS
골키퍼에	골키퍼/NNG + 에/JKB
걸려	걸리/VV + 어/EC
흘러나오자	흘러나오/VV + 자/EC
문전으로	문전/NNG + 으로/JKB
달려들면서	달려들/VV + 면서/EC
다시	다시/MAG
쏴	쏘/VV + 아/EC
골네트를	골네트/NNG + 를/JKO
흔들었다.	흔들/VV + 었/EP + 다/EF + ./SF

2P는	2/SN + P/SL + 는/JX
0-0.	0/SN + -/SS + 0/SN + ./SF

고려대는	고려대/NNP + 는/JX
3P	3/SN + P/SL
2분22초	2/SN + 분/NNB + 22/SN + 초/NNB
만에	만/NNB + 에/JKB
송치영이	송치영/NNP + 이/JKS
한라	한라/NNP
골문	골문/NNG
왼쪽에서	왼쪽/NNG + 에서/JKB
찔러준	찌르/VV + 어/EC + 주/VX + ㄴ/ETM
퍽을	퍽/NNG + 을/JKO
방승환이	방승환/NNP + 이/JKS
가볍게	가볍/VA + 게/EC
오른쪽으로	오른쪽/NNG + 으로/JKB
밀어넣으며	밀/VV + 어/EC + 넣/VV + 으며/EC
2-0으로	2/SN + -/SS + 0/SN + 으로/JKB
앞서나갔다.	앞서/VV + 어/EC + 나가/VX + 았/EP + 다/EF + ./SF

고려대는	고려대/NNP + 는/JX
12분44초에	12/SN + 분/NNB + 44/SN + 초/NNB + 에/JKB
송동환에게	송동환/NNP + 에게/JKB
한	한/MM
골을	골/NNG + 을/JKO
내줬지만,	내주/VV + 었/EP + 지만/EC + ,/SP
1분50여초	1/SN + 분/NNB + 50/SN + 여/XSN + 초/NNB
후	후/NNG
송치영이	송치영/NNP + 이/JKS
문전혼전	문전/NNG + 혼전/NNG
중	중/NNB
흘러나온	흘러나오/VV + ㄴ/ETM
퍽을	퍽/NNG + 을/JKO
가볍게	가볍/VA + 게/EC
골대	골대/NNG
안으로	안/NNG + 으로/JKB
찔러넣었다.	찌르/VV + 어/EC + 넣/VV + 었/EP + 다/EF + ./SF

3-1.	3/SN + -/SS + 1/SN + ./SF

고려대는	고려대/NNP + 는/JX
종료	종료/NNG
2분30초	2/SN + 분/NNB + 30/SN + 초/NNB
전	전/NNG
선수	선수/NNG
한	한/MM
명이	명/NNB + 이/JKS
페널티로	페널티/NNG + 로/JKB
퇴장당한	퇴장/NNG + 당하/XSV + ㄴ/ETM
상태에서	상태/NNG + 에서/JKB
한라	한라/NNP
김경태에게	김경태/NNP + 에게/JKB
골을	골/NNG + 을/JKO
내줬으나	내주/VV + 었/EP + 으나/EC
이날	이날/NNG
수차례	수차례/NNG
선방을	선방/NNG + 을/JKO
선보인	선보이/VV + ㄴ/ETM
골키퍼	골키퍼/NNG
류운정을	류운정/NNP + 을/JKO
앞세워	앞세우/VV + 어/EC
한라의	한라/NNP + 의/JKG
총공세를	총공세/NNG + 를/JKO
저지하면서	저지/NNG + 하/XSV + 면서/EC
감격적인	감격/NNG + 적/XSN + 이/VCP + ㄴ/ETM
우승을	우승/NNG + 을/JKO
차지했다.	차지/NNG + 하/XSV + 았/EP + 다/EF + ./SF

◇시상내역	◇/SW + 시상/NNG + 내역/NNG

▴최우수선수상=윤경원(고려대)	▴/SW + 최/XPN + 우수/NNG + 선수/NNG + 상/NNG + =/SW + 윤경원/NNP + (/SS + 고려대/NNP + )/SS
▴우수선수상=이현철(한라)	▴/SW + 우수/NNG + 선수/NNG + 상/NNG + =/SW + 이현철/NNP + (/SS + 한라/NNP + )/SS
▴미기상=문승현(모빌엣지)	▴/SW + 미기/NNG + 상/NNG + =/SW + 문승현/NNP + (/SS + 모빌엣지/NNP + )/SS
▴감투상=이정섭(연세대)	▴/SW + 감투/NNG + 상/NNG + =/SW + 이정섭/NNP + (/SS + 연세대/NNP + )/SS
▴포인트상=송동환·김경태(이상	▴/SW + 포인트/NNG + 상/NNG + =/SW + 송동환/NNP + ·/SP + 김경태/NNP + (/SS + 이상/NNG
한라)	한라/NNP + )/SS
송치영(고려대·이상	송치영/NNP + (/SS + 고려대/NNP + ·/SP + 이상/NNG
3포인트)	3/SN + 포인트/NNG + )/SS
▴지도자상=최원식(고려대	▴/SW + 지도자/NNG + 상/NNG + =/SW + 최원식/NNP + (/SS + 고려대/NNP
감독)	감독/NNG + )/SS

미국	미국/NNP
LPGA투어에서	LPGA/SL + 투어/NNG + 에서/JKB
활약	활약/NNG
중인	중/NNB + 이/VCP + ㄴ/ETM
박세리(26·사진)가	박세리/NNP + (/SS + 26/SN + ·/SP + 사진/NNG + )/SS + 가/JKS
한국에서	한국/NNP + 에서/JKB
열리는	열리/VV + 는/ETM
남자골프	남자/NNG + 골프/NNG
SBS최강전(23~26일·레이크사이드골프장),	SBS/SL + 최강전/NNG + (/SS + 23/SN + ~/SO + 26/SN + 일/NNB + ·/SP + 레이크사이드/NNP + 골프장/NNG + )/SS + ,/SP
LPGA투어	LPGA/SL + 투어/NNG
CJ나인브릿지클래식(31일~11월	CJ/SL + 나인/NNG + 브릿지/NNG + 클래식/NNG + (/SS + 31/SN + 일/NNB + ~/SO + 11/SN + 월/NNB
2일·제주)	2/SN + 일/NNB + ·/SP + 제주/NNP + )/SS
등에	등/NNB + 에/JKB
출전하기	출전/NNG + 하/XSV + 기/ETN
위해	위하/VV + 아/EC
14일	14/SN + 일/NNB
오전	오전/NNG
입국했다.	입국/NNG + 하/XSV + 았/EP + 다/EF + ./SF

SBS최강전에서	SBS/SL + 최강전/NNG + 에서/JKB
성(性)	성/NNG + (/SS + 性/SH + )/SS
대결을	대결/NNG + 을/JKO
벌일	벌이/VV + ㄹ/ETM
박세리는	박세리/NNP + 는/JX
"부담도	"/SS + 부담/NNG + 도/JX
크지만	크/VA + 지만/EC
많은	많/VA + 은/ETM
것을	것/NNB + 을/JKO
배울	배우/VV + ㄹ/ETM
수	수/NNB
있는	있/VV + 는/ETM
기회여서	기회/NNG + 이/VCP + 어서/EC
기대가	기대/NNG + 가/JKS
크다"고	크/VA + 다/EC + "/SS + 고/JKQ
말했다.	말/NNG + 하/XSV + 았/EP + 다/EF + ./SF

-살이	-/SS + 살/NNG + 이/JKS
많이	많이/MAG
빠진	빠지/VV + ㄴ/ETM
것	것/NNB
같다.	같/VA + 다/EF + ./SF

"그동안	"/SS + 그동안/NNG
경기	경기/NNG
스케줄이	스케줄/NNG + 이/JKS
빡빡해	빡빡/XR + 하/XSA + 아/EC
조금	조금/MAG
무리했다.	무리/NNG + 하/XSV + 았/EP + 다/EF + ./SF

그보다는	그/NP + 보다/JKB + 는/JX
사실	사실/MAG
이번	이번/NNG
대회	대회/NNG
출전을	출전/NNG + 을/JKO
위해	위하/VV + 아/EC
체력훈련을	체력/NNG + 훈련/NNG + 을/JKO
많이	많이/MAG
했다."	하/VV + 았/EP + 다/EF + ./SF + "/SS

-올해	-/SS + 올해/NNG
성	성/NNG
대결이	대결/NNG + 이/JKS
화제인데	화제/NNG + 이/VCP + ㄴ데/EC
당사자가	당사자/NNG + 가/JKC
된	되/VV + ㄴ/ETM
소감은?	소감/NNG + 은/JX + ?/SF

"부담이	"/SS + 부담/NNG + 이/JKS
아주	아주/MAG
크다.	크/VA + 다/EF + ./SF

나름대로	나름/NNB + 대로/JX
노력도	노력/NNG + 도/JX
많이	많이/MAG
했고	하/VV + 았/EP + 고/EC
좋은	좋/VA + 은/ETM
성적을	성적/NNG + 을/JKO
내고	내/VV + 고/EC
싶은	싶/VX + 은/ETM
마음도	마음/NNG + 도/JX
있다.	있/VV + 다/EF + ./SF

그러나	그러나/MAJ
남자들과의	남자/NNG + 들/XSN + 과/JKB + 의/JKG
경기에서	경기/NNG + 에서/JKB
많은	많/VA + 은/ETM
것을	것/NNB + 을/JKO
배울	배우/VV + ㄹ/ETM
수	수/NNB
있을	있/VV + 을/ETM
것이라는	것/NNB + 이/VCP + 라는/ETM
데	데/NNB
큰	크/VA + ㄴ/ETM
기대를	기대/NNG + 를/JKO
걸고	걸/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

예선(컷)	예선/NNG + (/SS + 컷/NNG + )/SS
통과는	통과/NNG + 는/JX
물론	물론/MAG
상위권	상위/NNG + 권/XSN
입상도	입상/NNG + 도/JX
원한다."	원하/VV + ㄴ다/EF + ./SF + "/SS

-컷	-/SS + 컷/NNG
통과의	통과/NNG + 의/JKG
관건은	관건/NNG + 은/JX
무엇이라	무엇/NP + 이/VCP + 라/EC
생각하나?	생각/NNG + 하/XSV + 나/EF + ?/SF

"거리	"/SS + 거리/NNG
차이도	차이/NNG + 도/JX
있지만	있/VV + 지만/EC
그린	그린/NNG
플레이가	플레이/NNG + 가/JKS
관건이다.	관건/NNG + 이/VCP + 다/EF + ./SF

퍼트	퍼트/NNG
실수를	실수/NNG + 를/JKO
줄이면	줄이/VV + 면/EC
좋은	좋/VA + 은/ETM
성적을	성적/NNG + 을/JKO
낼	내/VV + ㄹ/ETM
수	수/NNB
있을	있/VV + 을/ETM
것	것/NNB
같다."	같/VA + 다/EF + ./SF + "/SS

-남자들과	-/SS + 남자/NNG + 들/XSN + 과/JKB
같은	같/VA + 은/ETM
티잉	티잉/NNG
그라운드를	그라운드/NNG + 를/JKO
쓰는데	쓰/VV + 는데/EC
나름대로	나름/NNB + 대로/JX
공략전략이	공략/NNG + 전략/NNG + 이/JKS
있나?	있/VV + 나/EF + ?/SF

"우선	"/SS + 우선/MAG
파5홀은	파/NNG + 5/SN + 홀/NNG + 은/JX
타수를	타수/NNG + 를/JKO
줄일	줄이/VV + ㄹ/ETM
수	수/NNB
있는	있/VV + 는/ETM
기회인	기회/NNG + 이/VCP + ㄴ/ETM
만큼	만큼/NNB
적극	적극/NNG
공략하겠다.	공략/NNG + 하/XSV + 겠/EP + 다/EF + ./SF

문제는	문제/NNG + 는/JX
파4홀이다.	파/NNG + 4/SN + 홀/NNG + 이/VCP + 다/EF + ./SF

거리	거리/NNG
차이가	차이/NNG + 가/JKS
나기	나/VV + 기/ETN
때문에	때문/NNB + 에/JKB
두	두/MM
번째	번/NNB + 째/XSN
샷의	샷/NNG + 의/JKG
클럽	클럽/NNG
선택에	선택/NNG + 에/JKB
어려움이	어려움/NNG + 이/JKS
있을	있/VV + 을/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

그때그때	그때그때/MAG
적절한	적절/XR + 하/XSA + ㄴ/ETM
선택을	선택/NNG + 을/JKO
하겠다."	하/VV + 겠/EP + 다/EF + ./SF + "/SS

-모두	-/SS + 모두/MAG
기대가	기대/NNG + 가/JKS
큰데	크/VA + ㄴ데/EC
부담은	부담/NNG + 은/JX
없는가?	없/VA + 는가/EF + ?/SF

"남자들과	"/SS + 남자/NNG + 들/XSN + 과/JKB
경기하는	경기/NNG + 하/XSV + 는/ETM
것	것/NNB
자체가	자체/NNG + 가/JKS
영광스러운	영광/NNG + 스럽/XSA + ㄴ/ETM
일이다.	일/NNG + 이/VCP + 다/EF + ./SF

한	한/MM
수	수/NNB
배운다는	배우/VV + ㄴ다는/ETM
생각으로	생각/NNG + 으로/JKB
출전을	출전/NNG + 을/JKO
결정한	결정/NNG + 하/XSV + ㄴ/ETM
만큼	만큼/NNB
최선을	최선/NNG + 을/JKO
다하겠다."	다/MAG + 하/VV + 겠/EP + 다/EF + ./SF + "/SS

'땅콩'	'/SS + 땅콩/NNG + '/SS
김미현(26·사진)이	김미현/NNP + (/SS + 26/SN + ·/SP + 사진/NNG + )/SS + 이/JKS
15일	15/SN + 일/NNB
용인	용인/NNP
코리아CC에서	코리아/NNP + CC/SL + 에서/JKB
시작되는	시작/NNG + 되/XSV + 는/ETM
여자	여자/NNG
프로골프	프로/NNG + 골프/NNG
우리증권클래식(총상금	우리증권/NNP + 클래식/NNG + (/SS + 총/MM + 상금/NNG
2억5000만원)에	2/SN + 억/NR + 5000/SN + 만/NR + 원/NNB + )/SS + 에/JKB
출전,	출전/NNG + ,/SP
올	올/MM
시즌	시즌/NNG
처음	처음/NNG
국내대회에	국내/NNG + 대회/NNG + 에/JKB
나선다.	나서/VV + ㄴ다/EF + ./SF

김미현은	김미현/NNP + 은/JX
미	미/NNP
LPGA	LPGA/SL
데뷔	데뷔/NNG
5년째인	5/SN + 년/NNB + 째/XSN + 이/VCP + ㄴ/ETM
올해	올해/NNG
우승이	우승/NNG + 이/JKS
없다.	없/VA + 다/EF + ./SF

상금순위도	상금/NNG + 순위/NNG + 도/JX
14일	14/SN + 일/NNB
현재	현재/MAG
22위(43만2259달러)로	22/SN + 위/NNB + (/SS + 43/SN + 만/NR + 2259/SN + 달러/NNB + )/SS + 로/JKB
밀려,	밀리/VV + 어/EC + ,/SP
늘	늘/MAG
10위	10/SN + 위/NNB
안에	안/NNG + 에/JKB
들었던	들/VV + 었/EP + 던/ETM
지난	지나/VV + ㄴ/ETM
4년에	4/SN + 년/NNB + 에/JKB
비해	비하/VV + 아/EC
부진하다.	부진/NNG + 하/XSA + 다/EF + ./SF

"체력도	"/SS + 체력/NNG + 도/JX
달리고	달리/VV + 고/EC
정신적으로	정신/NNG + 적/XSN + 으로/JKB
지쳐	지치/VV + 어/EC
2주	2/SN + 주/NNB
전에	전/NNG + 에/JKB
한국에	한국/NNP + 에/JKB
와	오/VV + 아/EC
푹	푹/MAG
쉬었다"는	쉬/VV + 었/EP + 다/EF + "/SS + 는/JX
김미현은	김미현/NNP + 은/JX
같은	같/VA + 은/ETM
'미국파'인	'/SS + 미국/NNP + 파/NNG + '/SS + 이/VCP + ㄴ/ETM
이정연(24),	이정연/NNP + (/SS + 24/SN + )/SS + ,/SP
박희정(23),	박희정/NNP + (/SS + 23/SN + )/SS + ,/SP
장정(23)과	장정/NNP + (/SS + 23/SN + )/SS + 과/JKB
함께	함께/MAG
출전한다.	출전/NNG + 하/XSV + ㄴ다/EF + ./SF

-그동안	-/SS + 그동안/NNG
무엇하며	무엇/NP + 하/XSA + 며/EC
지냈나?	지내/VV + 었/EP + 나/EF + ?/SF

"아빠가	"/SS + 아빠/NNG + 가/JKS
운동을	운동/NNG + 을/JKO
못	못/MAG
하게	하/VV + 게/EC
하셔서	하/VV + 시/EP + 어서/EC
초등학교	초등학교/NNG
친구	친구/NNG
만나고	만나/VV + 고/EC
좋아하는	좋아하/VV + 는/ETM
음악도	음악/NNG + 도/JX
실컷	실컷/MAG
들었다.	듣/VV + 었/EP + 다/EF + ./SF

체력도	체력/NNG + 도/JX
달리고	달리/VV + 고/EC
정신적으로	정신/NNG + 적/XSN + 으로/JKB
너무	너무/MAG
지쳐	지치/VV + 어/EC
있었다.	있/VX + 었/EP + 다/EF + ./SF

이틀	이틀/NNG
전에	전/NNG + 에/JKB
처음	처음/NNG
골프채를	골프채/NNG + 를/JKO
잡았다."	잡/VV + 았/EP + 다/EF + ./SF + "/SS

-올해	-/SS + 올해/NNG
성적이	성적/NNG + 이/JKS
예상보다는	예상/NNG + 보다/JKB + 는/JX
안	안/MAG
좋다.	좋/VA + 다/EF + ./SF

"시즌	"/SS + 시즌/NNG
전	전/NNG
동계훈련을	동계/NNG + 훈련/NNG + 을/JKO
제대로	제대로/MAG
못했다.	못/MAG + 하/XSV + 았/EP + 다/EF + ./SF

미국에서	미국/NNP + 에서/JKB
버티려면	버티/VV + 려면/EC
체력이	체력/NNG + 이/JKS
뒷받침돼야	뒷받침/NNG + 되/XSV + 어야/EC
하는데	하/VX + 는데/EC
그게	그것/NP + 이/JKC
안	안/MAG
돼	되/VV + 어/EC
힘들었다.	힘들/VA + 었/EP + 다/EF + ./SF

역시	역시/MAG
연습한	연습/NNG + 하/XSV + ㄴ/ETM
만큼	만큼/NNB
결과가	결과/NNG + 가/JKS
나온다는	나오/VV + ㄴ다는/ETM
것을	것/NNB + 을/JKO
실감했다."	실감/NNG + 하/XSV + 았/EP + 다/EF + ./SF + "/SS

-우리증권	-/SS + 우리증권/NNP
클래식엔	클래식/NNG + 에/JKB + ㄴ/JX
좋은	좋/VA + 은/ETM
성적을	성적/NNG + 을/JKO
낼	내/VV + ㄹ/ETM
수	수/NNB
있겠나?	있/VV + 겠/EP + 나/EF + ?/SF

"솔직히	"/SS + 솔직히/MAG
현재	현재/MAG
컨디션으로	컨디션/NNG + 으로/JKB
봐선	보/VV + 아서/EC + ㄴ/JX
우승을	우승/NNG + 을/JKO
장담할	장담/NNG + 하/XSV + ㄹ/ETM
수는	수/NNB + 는/JX
없다.자신감은	없/VA + 다/EF + ./SF + 자신감/NNG + 은/JX

체력에서	체력/NNG + 에서/JKB
오는	오/VV + 는/ETM
것인데…."	것/NNB + 이/VCP + ㄴ데/EC + …/SE + ./SF + "/SS

-이번	-/SS + 이번/NNG
대회	대회/NNG
이후의	이후/NNG + 의/JKG
계획은?	계획/NNG + 은/JX + ?/SF

"LPGA투어인	"/SS + LPGA/SL + 투어/NNG + 이/VCP + ㄴ/ETM
CJ	CJ/SL
나인브릿지클래식과	나인/NNG + 브릿지/NNG + 클래식/NNG + 과/JC
일본	일본/NNP
미즈노클래식에	미즈노/NNP + 클래식/NNG + 에/JKB
참가하고	참가/NNG + 하/XSV + 고/EC
미국에서	미국/NNP + 에서/JKB
남은	남/VV + 은/ETM
대회에	대회/NNG + 에/JKB
나간다.	나가/VV + ㄴ다/EF + ./SF

마지막	마지막/NNG
안간힘을	안간힘/NNG + 을/JKO
써	쓰/VV + 어/EC
보겠다.	보/VX + 겠/EP + 다/EF + ./SF

올겨울에는	올겨울/NNG + 에/JKB + 는/JX
내년	내년/NNG
시즌에	시즌/NNG + 에/JKB
대비해	대비/NNG + 하/XSV + 아/EC
체력	체력/NNG
훈련을	훈련/NNG + 을/JKO
세게	세/VA + 게/EC
하기로	하/VV + 기/ETN + 로/JKB
마음먹었다."	마음먹/VV + 었/EP + 다/EF + ./SF + "/SS

육상	육상/NNG
해머던지기의	해머/NNG + 던지기/NNG + 의/JKG
'개척자'	'/SS + 개척자/NNG + '/SS
이윤철(21·한체대·전북)이	이윤철/NNP + (/SS + 21/SN + ·/SP + 한체대/NNP + ·/SP + 전북/NNP + )/SS + 이/JKS
한국신기록	한국/NNP + 신/XPN + 기록/NNG
행진을	행진/NNG + 을/JKO
이어갔다.	잇/VV + 어/EC + 가/VX + 았/EP + 다/EF + ./SF

이윤철은	이윤철/NNP + 은/JX
14일	14/SN + 일/NNB
전주종합경기장에서	전주종합경기장/NNP + 에서/JKB
열린	열리/VV + ㄴ/ETM
제84회	제/XPN + 84/SN + 회/NNB
전국체육대회	전국/NNG + 체육/NNG + 대회/NNG
남자	남자/NNG
일반부	일반부/NNG
해머던지기	해머/NNG + 던지기/NNG
결선에서	결선/NNG + 에서/JKB
67ｍ05를	67/SN + ｍ/SW + 05/SN + 를/JKO
기록,	기록/NNG + ,/SP
자신이	자신/NNG + 이/JKS
갖고	갖/VV + 고/EC
있는	있/VX + 는/ETM
한국기록(65ｍ95)을	한국/NNP + 기록/NNG + (/SS + 65/SN + ｍ/SW + 95/SN + )/SS + 을/JKO
1ｍ10	1/SN + ｍ/SW + 10/SN
경신했다.	경신/NNG + 하/XSV + 았/EP + 다/EF + ./SF

4월	4/SN + 월/NNB
종별대회와	종별/NNG + 대회/NNG + 와/JC
6월	6/SN + 월/NNB
전국선수권에	전국/NNG + 선수권/NNG + 에/JKB
이어	잇/VV + 어/EC
올해	올해/NNG
세	세/MM
번째로	번/NNB + 째/XSN + 로/JKB
한국기록을	한국/NNP + 기록/NNG + 을/JKO
바꾼	바꾸/VV + ㄴ/ETM
것.	것/NNB + ./SF

육상에선	육상/NNG + 에서/JKB + ㄴ/JX
'부부	'/SS + 부부/NNG
2관왕'도	2/SN + 관왕/NNG + '/SS + 도/JX
나왔다.	나오/VV + 았/EP + 다/EF + ./SF

남자	남자/NNG
일반부	일반부/NNG
3000ｍ	3000/SN + ｍ/SW
장애물에서	장애물/NNG + 에서/JKB
김남진(29·한전·전남)이	김남진/NNP + (/SS + 29/SN + ·/SP + 한전/NNP + ·/SP + 전남/NNP + )/SS + 이/JKS
9분11초10으로	9/SN + 분/NNB + 11/SN + 초/NNB + 10/SN + 으로/JKB
우승,	우승/NNG + ,/SP
10일	10/SN + 일/NNB
1500ｍ	1500/SN + ｍ/SW
우승에	우승/NNG + 에/JKB
이어	잇/VV + 어/EC
두	두/MM
번째	번/NNB + 째/XSN
금메달을	금메달/NNG + 을/JKO
걸었다.	걸/VV + 었/EP + 다/EF + ./SF

아내인	아내/NNG + 이/VCP + ㄴ/ETM
이윤경(26·울산시청)은	이윤경/NNP + (/SS + 26/SN + ·/SP + 울산시청/NNP + )/SS + 은/JX
10일	10/SN + 일/NNB
400ｍ	400/SN + ｍ/SW
허들과	허들/NNG + 과/JC
13일	13/SN + 일/NNB
400ｍ에서	400/SN + ｍ/SW + 에서/JKB
금메달	금메달/NNG
두	두/MM
개를	개/NNB + 를/JKO
따	따/VV + 아/EC
동반	동반/NNG
2관왕의	2/SN + 관왕/NNG + 의/JKG
기쁨을	기쁨/NNG + 을/JKO
나눴다.	나누/VV + 었/EP + 다/EF + ./SF

'사제	'/SS + 사제/NNG
대결'로	대결/NNG + '/SS + 로/JKB
관심을	관심/NNG + 을/JKO
모은	모으/VV + ㄴ/ETM
남자	남자/NNG
일반부	일반부/NNG
높이뛰기	높이뛰기/NNG
결선에선	결선/NNG + 에서/JKB + ㄴ/JX
배경호(27·안동시청)가	배경호/NNP + (/SS + 27/SN + ·/SP + 안동시청/NNP + )/SS + 가/JKS
2ｍ20을	2/SN + ｍ/SW + 20/SN + 을/JKO
뛰어넘어	뛰어넘/VV + 어/EC
국가대표팀	국가/NNG + 대표/NNG + 팀/NNG
코치인	코치/NNG + 이/VCP + ㄴ/ETM
김태회(30·정선군청·2ｍ15)를	김태회/NNP + (/SS + 30/SN + ·/SP + 정선군청/NNP + ·/SP + 2/SN + ｍ/SW + 15/SN + )/SS + 를/JKO
누르고	누르/VV + 고/EC
우승했다.	우승/NNG + 하/XSV + 았/EP + 다/EF + ./SF

김태회는	김태회/NNP + 는/JX
초반	초반/NNG
2ｍ15를	2/SN + ｍ/SW + 15/SN + 를/JKO
넘은	넘/VV + 은/ETM
뒤	뒤/NNG
남은	남/VV + 은/ETM
시기를	시기/NNG + 를/JKO
포기하고	포기/NNG + 하/XSV + 고/EC
'제자'의	'/SS + 제자/NNG + '/SS + 의/JKG
