러시아의	러시아/NNP + 의/JKG
기부금으로	기부금/NNG + 으로/JKB
충당되고	충당/NNG + 되/XSV + 고/EC
있다.	있/VX + 다/EF + ./SF

그린	그린/NNG
파워는	파워/NNG + 는/JX
홍콩	홍콩/NNP
전기,	전기/NNG + ,/SP
홍콩	홍콩/NNP
텔리콤,	텔리콤/NNG + ,/SP
캐세이퍼시픽	캐세이퍼시픽/NNP
항공	항공/NNG
등으로부터	등/NNB + 으로부터/JKB
지원을	지원/NNG + 을/JKO
받았으며,	받/VV + 았/EP + 으며/EC + ,/SP
지구의	지구/NNG + 의/JKG
친구들은	친구/NNG + 들/XSN + 은/JX
시민	시민/NNG
개개인의	개개인/NNG + 의/JKG
작은	작/VA + 은/ETM
정성에	정성/NNG + 에/JKB
의존하고	의존/NNG + 하/XSV + 고/EC
있다.	있/VX + 다/EF + ./SF

홍콩	홍콩/NNP
클린업	클린업/NNG
조직위는	조직위/NNG + 는/JX
이번	이번/NNG
캠페인을	캠페인/NNG + 을/JKO
다큐멘터리로	다큐멘터리/NNG + 로/JKB
제작,	제작/NNG + ,/SP
젊은	젊/VA + 은/ETM
세대들의	세대/NNG + 들/XSN + 의/JKG
환경	환경/NNG
교육에	교육/NNG + 에/JKB
활용하겠다는	활용/NNG + 하/XSV + 겠/EP + 다는/ETM
계획도	계획/NNG + 도/JX
세워두고	세우/VV + 어/EC + 두/VX + 고/EC
있다.	있/VX + 다/EF + ./SF

조직위는	조직위/NNG + 는/JX
현재	현재/MAG
이	이/MM
문제를	문제/NNG + 를/JKO
놓고	놓/VV + 고/EC
스타	스타/NNG
TV	TV/SL
측과	측/NNB + 과/JKB
교섭을	교섭/NNG + 을/JKO
벌이고	벌이/VV + 고/EC
있으며,	있/VX + 으며/EC + ,/SP
캐세이퍼시픽	캐세이퍼시픽/NNP
항공에	항공/NNG + 에/JKB
대해서도	대하/VV + 아서/EC + 도/JX
기내	기내/NNG
방송을	방송/NNG + 을/JKO
통해	통하/VV + 아/EC
이번	이번/NNG
캠페인을	캠페인/NNG + 을/JKO
다뤄	다루/VV + 어/EC
줄	주/VX + ㄹ/ETM
것을	것/NNB + 을/JKO
의뢰중이다.	의뢰/NNG + 중/NNB + 이/VCP + 다/EF + ./SF

'클린업	'/SS + 클린업/NNG
홍콩'	홍콩/NNP + '/SS
조직위원장	조직/NNG + 위원장/NNG
도널드	도널드/NNP
테임	테임/NNP
씨(53)는	씨/NNB + (/SS + 53/SN + )/SS + 는/JX
"이번	"/SS + 이번/NNG
캠페인의	캠페인/NNG + 의/JKG
최대	최대/NNG
목표는	목표/NNG + 는/JX
홍콩의	홍콩/NNP + 의/JKG
젊은이들에게	젊은이/NNG + 들/XSN + 에게/JKB
깨끗한	깨끗/XR + 하/XSA + ㄴ/ETM
환경의	환경/NNG + 의/JKG
수혜자가	수혜자/NNG + 가/JKS
바로	바로/MAG
자신들이라는	자신/NNG + 들/XSN + 이/VCP + 라는/ETM
점을	점/NNG + 을/JKO
부각시키는	부각/NNG + 시키/XSV + 는/ETM
것"이라고	것/NNB + "/SS + 이라고/JKQ
말했다.	말/NNG + 하/XSV + 았/EP + 다/EF + ./SF

가을은	가을/NNG + 은/JX
무좀	무좀/NNG
퇴치의	퇴치/NNG + 의/JKG
최적기―.	최/XPN + 적기/NNG + ―/SS + ./SF

가을의	가을/NNG + 의/JKG
기온과	기온/NNG + 과/JC
습도는	습도/NNG + 는/JX
인체의	인체/NNG + 의/JKG
면역력을	면역력/NNG + 을/JKO
가장	가장/MAG
강화시키는	강화/NNG + 시키/XSV + 는/ETM
반면	반면/NNG
무좀균(곰팡이균의	무좀/NNG + 균/NNG + (/SS + 곰팡이/NNG + 균/NNG + 의/JKG
일종)에는	일종/NNG + )/SS + 에/JKB + 는/JX
활동력을	활동력/NNG + 을/JKO
약화시키는	약화/NNG + 시키/XSV + 는/ETM
시기이다.	시기/NNG + 이/VCP + 다/EF + ./SF

피부과	피부과/NNG
의사들은	의사/NNG + 들/XSN + 은/JX
"무좀을	"/SS + 무좀/NNG + 을/JKO
완치하려면	완치/NNG + 하/XSV + 려면/EC
이	이/MM
시기에	시기/NNG + 에/JKB
하는	하/VV + 는/ETM
것이	것/NNB + 이/JKS
가장	가장/MAG
좋다"고	좋/VA + 다/EC + "/SS + 고/JKQ
권한다.	권하/VV + ㄴ다/EF + ./SF

현재	현재/MAG
무좀은	무좀/NNG + 은/JX
전체	전체/NNG
인구의	인구/NNG + 의/JKG
10%가	10/SN + %/SW + 가/JKS
감염되어	감염/NNG + 되/XSV + 어/EC
있는	있/VX + 는/ETM
것으로	것/NNB + 으로/JKB
보고돼	보고/NNG + 되/XSV + 어/EC
있다.	있/VX + 다/EF + ./SF

이	이/MM
때	때/NNG
완치를	완치/NNG + 를/JKO
위해	위하/VV + 아/EC
가장	가장/MAG
중요한	중요/NNG + 하/XSA + ㄴ/ETM
것은	것/NNB + 은/JX
증상이	증상/NNG + 이/JKS
사라진	사라지/VV + ㄴ/ETM
후에도	후/NNG + 에/JKB + 도/JX
2	2/SN
~	~/SO
3주간	3/SN + 주간/NNB
계속	계속/MAG
무좀약을	무좀/NNG + 약/NNG + 을/JKO
발라	바르/VV + 아/EC
주어야	주/VX + 어야/EC
한다는	하/VX + ㄴ다는/ETM
사실이다.	사실/NNG + 이/VCP + 다/EF + ./SF

연세대	연세대/NNP
의대	의대/NNG
박윤기	박윤기/NNP
교수(피부과)는	교수/NNG + (/SS + 피부과/NNG + )/SS + 는/JX
"무좀균은	"/SS + 무좀/NNG + 균/NNG + 은/JX
한	한/MM
마리라도	마리/NNB + 이/VCP + 라도/EC
남아	남/VV + 아/EC
있으면	있/VX + 으면/EC
재발하므로	재발/NNG + 하/XSV + 므로/EC
반드시	반드시/MAG
이	이/MM
원칙을	원칙/NNG + 을/JKO
지켜야	지키/VV + 어야/EC
다음해	다음/NNG + 해/NNG
여름	여름/NNG
고생하지	고생/NNG + 하/XSV + 지/EC
않는다"고	않/VX + 는다/EC + "/SS + 고/JKQ
강조했다.	강조/NNG + 하/XSV + 았/EP + 다/EF + ./SF

무좀	무좀/NNG
증상이	증상/NNG + 이/JKS
없어진	없/VA + 어/EC + 지/VX + ㄴ/ETM
후	후/NNG
후속	후속/NNG
치료를	치료/NNG + 를/JKO
하지	하/VV + 지/EC
않아	않/VX + 아/EC
재발하는	재발/NNG + 하/XSV + 는/ETM
환자들을	환자/NNG + 들/XSN + 을/JKO
흔히	흔히/MAG
목격한다는	목격/NNG + 하/XSV + ㄴ다는/ETM
것이	것/NNB + 이/JKS
박	박/NNP
교수의	교수/NNG + 의/JKG
설명이다.	설명/NNG + 이/VCP + 다/EF + ./SF

일반적으로	일반/NNG + 적/XSN + 으로/JKB
무좀은	무좀/NNG + 은/JX
하루	하루/NNG
2	2/SN
~	~/SO
3회	3/SN + 회/NNB
2	2/SN
~	~/SO
3주	3/SN + 주/NNB
정도	정도/NNG
무좀약을	무좀/NNG + 약/NNG + 을/JKO
바르면	바르/VV + 면/EC
증상이	증상/NNG + 이/JKS
사라진다.	사라지/VV + ㄴ다/EF + ./SF

바르는	바르/VV + 는/ETM
약이	약/NNG + 이/JKS
잘	잘/MAG
안	안/MAG
듣거나	듣/VV + 거나/EC
환부가	환부/NNG + 가/JKS
넓은	넓/VA + 은/ETM
경우,	경우/NNG + ,/SP
무좀균이	무좀/NNG + 균/NNG + 이/JKS
손-발톱까지	손/NNG + -/SS + 발톱/NNG + 까지/JX
침범한	침범/NNG + 하/XSV + ㄴ/ETM
경우	경우/NNG
먹는	먹/VV + 는/ETM
약을	약/NNG + 을/JKO
1	1/SN
~	~/SO
2주	2/SN + 주/NNB
정도	정도/NNG
사용하기도	사용/NNG + 하/XSV + 기/ETN + 도/JX
한다.	하/VX + ㄴ다/EF + ./SF

그러나,	그러나/MAJ + ,/SP
간	간/NNG
기능이	기능/NNG + 이/JKS
나쁜	나쁘/VA + ㄴ/ETM
사람들은	사람/NNG + 들/XSN + 은/JX
먹는	먹/VV + 는/ETM
약을	약/NNG + 을/JKO
쓰지	쓰/VV + 지/EC
말라는	말/VX + 라는/ETM
것이	것/NNB + 이/JKS
전문가들의	전문가/NNG + 들/XSN + 의/JKG
조언이다.	조언/NNG + 이/VCP + 다/EF + ./SF

무좀	무좀/NNG
치료에	치료/NNG + 에/JKB
착수하기	착수/NNG + 하/XSV + 기/ETN
전에	전/NNG + 에/JKB
반드시	반드시/MAG
전문의의	전문의/NNG + 의/JKG
상담을	상담/NNG + 을/JKO
받는	받/VV + 는/ETM
것이	것/NNB + 이/JKS
좋다.	좋/VA + 다/EF + ./SF

증상이	증상/NNG + 이/JKS
무좀과	무좀/NNG + 과/JC
비슷하지만	비슷/XR + 하/XSA + 지만/EC
무좀이	무좀/NNG + 이/JKC
아닌	아니/VCN + ㄴ/ETM
경우가	경우/NNG + 가/JKS
간혹	간혹/MAG
있기	있/VV + 기/ETN
때문.	때문/NNB + ./SF

대표적인	대표/NNG + 적/XSN + 이/VCP + ㄴ/ETM
질병이	질병/NNG + 이/JKS
발바닥의	발바닥/NNG + 의/JKG
농포성	농포/NNG + 성/XSN
건선,	건선/NNG + ,/SP
발바닥	발바닥/NNG
각화증,	각화증/NNG + ,/SP
접촉성	접촉/NNG + 성/XSN
피부염,	피부염/NNG + ,/SP
세균성	세균/NNG + 성/XSN
습진	습진/NNG
등이다.	등/NNB + 이/VCP + 다/EF + ./SF

박	박/NNP
교수는	교수/NNG + 는/JX
"진료	"/SS + 진료/NNG
경험에	경험/NNG + 에/JKB
비추어	비추/VV + 어/EC
볼	보/VX + ㄹ/ETM
때	때/NNG
무좀과	무좀/NNG + 과/JC
비슷한	비슷/XR + 하/XSA + ㄴ/ETM
증상을	증상/NNG + 을/JKO
보이는	보이/VV + 는/ETM
사람들	사람/NNG + 들/XSN
중	중/NNB
10	10/SN
~	~/SO
20%는	20/SN + %/SW + 는/JX
무좀이	무좀/NNG + 이/JKC
아니었다"고	아니/VCN + 었/EP + 다/EC + "/SS + 고/JKQ
말했다.	말/NNG + 하/XSV + 았/EP + 다/EF + ./SF

따라서	따라서/MAJ
병원을	병원/NNG + 을/JKO
통하지	통하/VV + 지/EC
않고	않/VX + 고/EC
바로	바로/MAG
약국을	약국/NNG + 을/JKO
찾아	찾/VV + 아/EC
무좀약을	무좀/NNG + 약/NNG + 을/JKO
구입하는	구입/NNG + 하/XSV + 는/ETM
경우	경우/NNG
엉뚱한	엉뚱/XR + 하/XSA + ㄴ/ETM
질병에	질병/NNG + 에/JKB
무좀약을	무좀/NNG + 약/NNG + 을/JKO
쓰는	쓰/VV + 는/ETM
잘못을	잘못/NNG + 을/JKO
범할	범하/VV + ㄹ/ETM
수	수/NNB
있다는	있/VV + 다는/ETM
것이	것/NNB + 이/JKS
전문의들의	전문의/NNG + 들/XSN + 의/JKG
지적이다.	지적/NNG + 이/VCP + 다/EF + ./SF

병원에서는	병원/NNG + 에서/JKB + 는/JX
환부의	환부/NNG + 의/JKG
균을	균/NNG + 을/JKO
채취,	채취/NNG + ,/SP
균	균/NNG
배양	배양/NNG
검사를	검사/NNG + 를/JKO
하기	하/VV + 기/ETN
때문에	때문/NNB + 에/JKB
이런	이런/MM
오진을	오진/NNG + 을/JKO
막는다.	막/VV + 는다/EF + ./SF

무좀을	무좀/NNG + 을/JKO
완치하기	완치/NNG + 하/XSV + 기/ETN
위해서는	위하/VV + 아서/EC + 는/JX
재감염을	재/XPN + 감염/NNG + 을/JKO
막는	막/VV + 는/ETM
생활	생활/NNG
태도도	태도/NNG + 도/JX
중요하다.	중요/NNG + 하/XSA + 다/EF + ./SF

먼저	먼저/MAG
구두는	구두/NNG + 는/JX
2	2/SN
~	~/SO
3	3/SN
켤레를	켤레/NNB + 를/JKO
준비,	준비/NNG + ,/SP
한	한/MM
구두를	구두/NNG + 를/JKO
1주일씩	1/SN + 주일/NNB + 씩/XSN
갈아	갈/VV + 아/EC
신으라고	신/VV + 으라고/EC
전문의들은	전문의/NNG + 들/XSN + 은/JX
권한다.	권하/VV + ㄴ다/EF + ./SF

신지	신/VV + 지/EC
않는	않/VX + 는/ETM
구두는	구두/NNG + 는/JX
햇볕이	햇볕/NNG + 이/JKS
들고	들/VV + 고/EC
통풍이	통풍/NNG + 이/JKS
잘	잘/MAG
되는	되/VV + 는/ETM
곳에서	곳/NNG + 에서/JKB
건조시켜야	건조/NNG + 시키/XSV + 어야/EC
잔류	잔류/NNG
무좀균들의	무좀/NNG + 균/NNG + 들/XSN + 의/JKG
번식을	번식/NNG + 을/JKO
막을	막/VV + 을/ETM
수	수/NNB
있다.	있/VV + 다/EF + ./SF

양말도	양말/NNG + 도/JX
물로	물/NNG + 로/JKB
대충	대충/MAG
빨지	빨/VV + 지/EC
말고	말/VX + 고/EC
철저히	철저히/MAG
빨아	빨/VV + 아/EC
신어야	신/VV + 어야/EC
한다.	하/VX + ㄴ다/EF + ./SF

그리고	그리고/MAJ
사무실에서는	사무실/NNG + 에서/JKB + 는/JX
구두	구두/NNG
대신	대신/NNG
통풍이	통풍/NNG + 이/JKS
잘	잘/MAG
되는	되/VV + 는/ETM
슬리퍼를	슬리퍼/NNG + 를/JKO
신는	신/VV + 는/ETM
것이	것/NNB + 이/JKS
좋다.	좋/VA + 다/EF + ./SF

샤워나	샤워/NNG + 나/JC
목욕	목욕/NNG
후에는	후/NNG + 에/JKB + 는/JX
발가락	발가락/NNG
사이의	사이/NNG + 의/JKG
물기를	물/NNG + 기/XSN + 를/JKO
완전히	완전히/MAG
닦아야	닦/VV + 아야/EC
한다.	하/VX + ㄴ다/EF + ./SF

특히	특히/MAG
대중목욕탕,	대중목욕탕/NNG + ,/SP
헬스클럽,	헬스클럽/NNG + ,/SP
수영장	수영장/NNG
등에선	등/NNB + 에서/JKB + ㄴ/JX
발의	발/NNG + 의/JKG
물기를	물/NNG + 기/XSN + 를/JKO
완전히	완전히/MAG
말린	말리/VV + ㄴ/ETM
뒤	뒤/NNG
양말을	양말/NNG + 을/JKO
신어야	신/VV + 어야/EC
한다.	하/VX + ㄴ다/EF + ./SF

공동으로	공동/NNG + 으로/JKB
쓰는	쓰/VV + 는/ETM
발걸레가	발/NNG + 걸레/NNG + 가/JKS
재감염의	재/XPN + 감염/NNG + 의/JKG
요인이	요인/NNG + 이/JKC
될	되/VV + ㄹ/ETM
수	수/NNB
있음에	있/VV + 음/ETN + 에/JKB
주의해야	주의/NNG + 하/XSV + 아야/EC
한다.	하/VX + ㄴ다/EF + ./SF

다만	다만/MAG
식생활은	식생활/NNG + 은/JX
무좀과	무좀/NNG + 과/JC
아무런	아무런/MM
연관이	연관/NNG + 이/JKS
없다.	없/VA + 다/EF + ./SF

무좀이	무좀/NNG + 이/JKS
심한	심하/VA + ㄴ/ETM
경우	경우/NNG
피부의	피부/NNG + 의/JKG
껍질이	껍질/NNG + 이/JKS
벗겨지고	벗겨지/VV + 고/EC
난	나/VX + ㄴ/ETM
후	후/NNG
2차로	2/SN + 차/NNB + 로/JKB
포도상구균,	포도상구균/NNG + ,/SP
연쇄상구균	연쇄상구균/NNG
등의	등/NNB + 의/JKG
세균에	세균/NNG + 에/JKB
감염되어	감염/NNG + 되/XSV + 어/EC
있는	있/VX + 는/ETM
수가	수/NNB + 가/JKS
있다.	있/VV + 다/EF + ./SF

이	이/MM
때는	때/NNG + 는/JX
진물이	진물/NNG + 이/JKS
나고	나/VV + 고/EC
통증을	통증/NNG + 을/JKO
동반하기도	동반/NNG + 하/XSV + 기/ETN + 도/JX
하는	하/VX + 는/ETM
데	데/NNB
항생제로	항생제/NNG + 로/JKB
2차	2/SN + 차/NNB
감염을	감염/NNG + 을/JKO
치료한	치료/NNG + 하/XSV + ㄴ/ETM
후	후/NNG
무좀을	무좀/NNG + 을/JKO
치료하는	치료/NNG + 하/XSV + 는/ETM
것이	것/NNB + 이/JKS
순서다.	순서/NNG + 이/VCP + 다/EF + ./SF

서울대병원에	서울대병원/NNP + 에/JKB
학생들이	학생/NNG + 들/XSN + 이/JKS
직접	직접/MAG
환자에게	환자/NNG + 에게/JKB
시술하는	시술/NNG + 하/XSV + 는/ETM
진료실이	진료실/NNG + 이/JKS
생겼다.	생기/VV + 었/EP + 다/EF + ./SF

서울대병원	서울대병원/NNP
치과진료부는	치과/NNG + 진료부/NNG + 는/JX
지난달	지난달/NNG
'종합진료실'을	'/SS + 종합/NNG + 진료실/NNG + '/SS + 을/JKO
개설,	개설/NNG + ,/SP
치대	치대/NNG
4년생에게	4/SN + 년/NNB + 생/XSN + 에게/JKB
환자들을	환자/NNG + 들/XSN + 을/JKO
진료하도록	진료/NNG + 하/XSV + 도록/EC
했다.	하/VX + 았/EP + 다/EF + ./SF

물론	물론/MAG
교수-전공의	교수/NNG + -/SS + 전공의/NNG
등	등/NNB
16	16/SN
명이	명/NNB + 이/JKS
학생들의	학생/NNG + 들/XSN + 의/JKG
진료를	진료/NNG + 를/JKO
지도-감독하며,	지도/NNG + -/SS + 감독/NNG + 하/XSV + 며/EC + ,/SP
환자에	환자/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
최종적인	최종/NNG + 적/XSN + 이/VCP + ㄴ/ETM
책임은	책임/NNG + 은/JX
교수가	교수/NNG + 가/JKS
지는	지/VV + 는/ETM
방식이다.	방식/NNG + 이/VCP + 다/EF + ./SF

진료실	진료실/NNG
책임자인	책임자/NNG + 이/VCP + ㄴ/ETM
한수부	한수부/NNP
교수(치주과)는	교수/NNG + (/SS + 치주과/NNG + )/SS + 는/JX
"치대	"/SS + 치대/NNG
4년생이	4/SN + 년/NNB + 생/XSN + 이/JKS
의대	의대/NNG
쪽으로	쪽/NNB + 으로/JKB
치면	치/VV + 면/EC
인턴	인턴/NNG
과정에	과정/NNG + 에/JKB
해당하는	해당/NNG + 하/XSV + 는/ETM
임상	임상/NNG
실습을	실습/NNG + 을/JKO
한다"고	하/VV + ㄴ다/EC + "/SS + 고/JKQ
설명했다.	설명/NNG + 하/XSV + 았/EP + 다/EF + ./SF

장비는	장비/NNG + 는/JX
60	60/SN
개의	개/NNB + 의/JKG
진료	진료/NNG
의자와	의자/NNG + 와/JC
기본적인	기본/NNG + 적/XSN + 이/VCP + ㄴ/ETM
치과	치과/NNG
장비들.	장비/NNG + 들/XSN + ./SF

1백여	1/SN + 백/NR + 여/XSN
명의	명/NNB + 의/JKG
학생들이	학생/NNG + 들/XSN + 이/JKS
교대로	교대/NNG + 로/JKB
하루	하루/NNG
중	중/NNB
반나절을	반나절/NNG + 을/JKO
이	이/MM
곳에서	곳/NNG + 에서/JKB
진료에	진료/NNG + 에/JKB
임한다.	임하/VV + ㄴ다/EF + ./SF

학생들이	학생/NNG + 들/XSN + 이/JKS
시술하는	시술/NNG + 하/XSV + 는/ETM
범위는	범위/NNG + 는/JX
스케일링,	스케일링/NNG + ,/SP
초보적인	초보/NNG + 적/XSN + 이/VCP + ㄴ/ETM
충치,	충치/NNG + ,/SP
기술이	기술/NNG + 이/JKS
별로	별로/MAG
필요	필요/NNG
없는	없/VA + 는/ETM
치료	치료/NNG
행위	행위/NNG
등이다.	등/NNB + 이/VCP + 다/EF + ./SF

더	더/MAG
어려운	어렵/VA + ㄴ/ETM
진료	진료/NNG
시에는	시/NNB + 에/JKB + 는/JX
구강외과,	구강외과/NNG + ,/SP
보철과,	보철과/NNG + ,/SP
보존과	보존과/NNG
등	등/NNB
각	각/MM
해당과로	해당/NNG + 과/NNG + 로/JKB
환자들을	환자/NNG + 들/XSN + 을/JKO
보낸다.	보내/VV + ㄴ다/EF + ./SF

구체적으로	구체/NNG + 적/XSN + 으로/JKB
진료는	진료/NNG + 는/JX
학생들이	학생/NNG + 들/XSN + 이/JKS
먼저	먼저/MAG
환자를	환자/NNG + 를/JKO
진단한	진단/NNG + 하/XSV + ㄴ/ETM
다음	다음/NNG
교수가	교수/NNG + 가/JKS
다시	다시/MAG
진단해	진단/NNG + 하/XSV + 아/EC
진단	진단/NNG
결과를	결과/NNG + 를/JKO
서로	서로/MAG
비교한다.	비교/NNG + 하/XSV + ㄴ다/EF + ./SF

그리고	그리고/MAJ
치료	치료/NNG
방법에	방법/NNG + 에/JKB
대해	대하/VV + 아/EC
교수와	교수/NNG + 와/JC
학생이	학생/NNG + 이/JKS
토론한	토론/NNG + 하/XSV + ㄴ/ETM
다음	다음/NNG
학생들이	학생/NNG + 들/XSN + 이/JKS
기초적인	기초/NNG + 적/XSN + 이/VCP + ㄴ/ETM
처치를	처치/NNG + 를/JKO
한다.	하/VV + ㄴ다/EF + ./SF

처치	처치/NNG
결과에	결과/NNG + 에/JKB
대해	대하/VV + 아/EC
교수들이	교수/NNG + 들/XSN + 이/JKS
다시	다시/MAG
확인,	확인/NNG + ,/SP
평가하고	평가/NNG + 하/XSV + 고/EC
부족한	부족/NNG + 하/XSA + ㄴ/ETM
점이	점/NNG + 이/JKS
있을	있/VV + 을/ETM
때는	때/NNG + 는/JX
보충하는	보충/NNG + 하/XSV + 는/ETM
방식이다.	방식/NNG + 이/VCP + 다/EF + ./SF

이곳을	이곳/NP + 을/JKO
이용하는	이용/NNG + 하/XSV + 는/ETM
환자는	환자/NNG + 는/JX
하루	하루/NNG
1백	1/SN + 백/NR
60	60/SN
명선.	명/NNB + 선/NNG + ./SF

이	이/MM
병원	병원/NNG
치과진료부에서	치과/NNG + 진료부/NNG + 에서/JKB
이뤄지는	이루어지/VV + 는/ETM
진료	진료/NNG
행위의	행위/NNG + 의/JKG
30%	30/SN + %/SW
선에	선/NNG + 에/JKB
이른다.	이르/VV + ㄴ다/EF + ./SF

병원	병원/NNG
측은	측/NNB + 은/JX
의료보험이	의료/NNG + 보험/NNG + 이/JKS
적용되는	적용/NNG + 되/XSV + 는/ETM
수가는	수가/NNG + 는/JX
어쩔	어쩌/VV + ㄹ/ETM
수	수/NNB
없지만	없/VA + 지만/EC
보험이	보험/NNG + 이/JKS
적용되지	적용/NNG + 되/XSV + 지/EC
않는	않/VX + 는/ETM
진료는	진료/NNG + 는/JX
40	40/SN
~	~/SO
50%의	50/SN + %/SW + 의/JKG
할인	할인/NNG
혜택을	혜택/NNG + 을/JKO
제공하고	제공/NNG + 하/XSV + 고/EC
있다.	있/VX + 다/EF + ./SF

그러나,	그러나/MAJ + ,/SP
환자가	환자/NNG + 가/JKS
꼭	꼭/MAG
원하는	원하/VV + 는/ETM
경우	경우/NNG
이곳을	이곳/NP + 을/JKO
거치지	거치/VV + 지/EC
않고	않/VX + 고/EC
바로	바로/MAG
각과로	각/MM + 과/NNG + 로/JKB
갈	가/VV + ㄹ/ETM
수	수/NNB
있다.	있/VV + 다/EF + ./SF

학생들은	학생/NNG + 들/XSN + 은/JX
자신들이	자신/NNG + 들/XSN + 이/JKS
진료하는	진료/NNG + 하/XSV + 는/ETM
환자들에게	환자/NNG + 들/XSN + 에게/JKB
강한	강하/VV + ㄴ/ETM
애착을	애착/NNG + 을/JKO
보이고	보이/VV + 고/EC
있다고	있/VX + 다고/EC
교수들은	교수/NNG + 들/XSN + 은/JX
말한다.	말/NNG + 하/XSV + ㄴ다/EF + ./SF

한	한/MM
교수는	교수/NNG + 는/JX
"교수나	"/SS + 교수/NNG + 나/JC
전공의들의	전공의/NNG + 들/XSN + 의/JKG
시술을	시술/NNG + 을/JKO
지켜보던	지켜보/VV + 던/ETM
처지에서	처지/NNG + 에서/JKB
벗어나	벗어나/VV + 아/EC
환자를	환자/NNG + 를/JKO
직접	직접/MAG
시술하게	시술/NNG + 하/XSV + 게/EC
되자	되/VV + 자/EC
학생들의	학생/NNG + 들/XSN + 의/JKG
눈빛이	눈빛/NNG + 이/JKS
달라졌다"고	달라지/VV + 었/EP + 다/EC + "/SS + 고/JKQ
말했다.	말/NNG + 하/XSV + 았/EP + 다/EF + ./SF

우리	우리/NP
나라	나라/NNG
유방암	유방암/NNG
환자가	환자/NNG + 가/JKS
70년대에	70/SN + 년대/NNB + 에/JKB
비해	비하/VV + 아/EC
10배이상	10/SN + 배/NNG + 이상/NNG
급증,	급증/NNG + ,/SP
연간	연간/NNG
성인	성인/NNG
여성의	여성/NNG + 의/JKG
2천명	2/SN + 천/NR + 명/NNB
정도가	정도/NNG + 가/JKS
유방	유방/NNG
절제	절제/NNG
수술을	수술/NNG + 을/JKO
받고	받/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

유방암	유방암/NNG
수술은	수술/NNG + 은/JX
이제	이제/MAG
우리	우리/NP
나라에서도	나라/NNG + 에서/JKB + 도/JX
흔한	흔하/VA + ㄴ/ETM
수술이	수술/NNG + 이/JKC
되고	되/VV + 고/EC
있고,	있/VX + 고/EC + ,/SP
절제	절제/NNG
수술	수술/NNG
이후를	이후/NNG + 를/JKO
어떻게	어떻/VA + 게/EC
관리하느냐가	관리/NNG + 하/XSV + 느냐/EC + 가/JKS
조기	조기/NNG
진단	진단/NNG
못지않게	못지않/VA + 게/EC
중요시되고	중요/NNG + 시/XSN + 되/XSV + 고/EC
있다.	있/VX + 다/EF + ./SF

특히	특히/MAG
유방	유방/NNG
절제	절제/NNG
수술을	수술/NNG + 을/JKO
받은	받/VV + 은/ETM
이후	이후/NNG
다른	다른/MM
쪽	쪽/NNB
유방에	유방/NNG + 에/JKB
다시	다시/MAG
암이	암/NNG + 이/JKS
발생할	발생/NNG + 하/XSV + ㄹ/ETM
확률이	확률/NNG + 이/JKS
10%에	10/SN + %/SW + 에/JKB
이르므로	이르/VV + 므로/EC
각별한	각별/NNG + 하/XSA + ㄴ/ETM
주의가	주의/NNG + 가/JKS
필요하다고	필요/NNG + 하/XSA + 다고/EC
고려대	고려대/NNP
의대	의대/NNG
황정웅	황정웅/NNP
교수(일반외과)는	교수/NNG + (/SS + 일반/NNG + 외과/NNG + )/SS + 는/JX
강조한다.	강조/NNG + 하/XSV + ㄴ다/EF + ./SF

유방	유방/NNG
상실로	상실/NNG + 로/JKB
인한	인하/VV + ㄴ/ETM
정신적	정신/NNG + 적/XSN
충격	충격/NNG
역시	역시/MAG
커서,	크/VA + 어서/EC + ,/SP
미국의	미국/NNP + 의/JKG
절제	절제/NNG
수술	수술/NNG
환자들은	환자/NNG + 들/XSN + 은/JX
서로를	서로/NNG + 를/JKO
위로하기	위로/NNG + 하/XSV + 기/ETN
위해	위하/VV + 아/EC
전국적인	전국/NNG + 적/XSN + 이/VCP + ㄴ/ETM
조직을	조직/NNG + 을/JKO
갖추고	갖추/VV + 고/EC
있을	있/VX + 을/ETM
정도이다.	정도/NNG + 이/VCP + 다/EF + ./SF

절제	절제/NNG
수술	수술/NNG
후	후/NNG
가장	가장/MAG
우려되는	우려/NNG + 되/XSV + 는/ETM
것은	것/NNB + 은/JX
유방암의	유방암/NNG + 의/JKG
재발이다.	재발/NNG + 이/VCP + 다/EF + ./SF

수술	수술/NNG
후	후/NNG
5년간	5/SN + 년/NNB + 간/NNG
암	암/NNG
재발률은	재발/NNG + 률/XSN + 은/JX
절제한	절제/NNG + 하/XSV + ㄴ/ETM
암종양의	암/NNG + 종양/NNG + 의/JKG
크기가	크기/NNG + 가/JKS
2.5㎝이하(1기)의	2/SN + ./SP + 5/SN + ㎝/SW + 이하/NNG + (/SS + 1/SN + 기/NNG + )/SS + 의/JKG
경우	경우/NNG
10	10/SN
~	~/SO
20%,	20/SN + %/SW + ,/SP
2.5	2/SN + ./SP + 5/SN
~	~/SO
5㎝(2기)는	5/SN + ㎝/SW + (/SS + 2/SN + 기/NNG + )/SS + 는/JX
30	30/SN
~	~/SO
40%,	40/SN + %/SW + ,/SP
5㎝이상(3기)은	5/SN + ㎝/SW + 이상/NNG + (/SS + 3/SN + 기/NNG + )/SS + 은/JX
