15면	15/SN + 면/NNG
투자자들이	투자자/NNG + 들/XSN + 이/JKS
보유	보유/NNG
주식을	주식/NNG + 을/JKO
대량으로	대량/NNG + 으로/JKB
쏟아낸	쏟/VV + 아/EC + 내/VX + ㄴ/ETM
데다	데/NNB + 다/JX
현대그룹	현대그룹/NNP
사태로	사태/NNG + 로/JKB
투자	투자/NNG
심리가	심리/NNG + 가/JKS
극히	극히/MAG
위축된	위축/NNG + 되/XSV + ㄴ/ETM
탓이다.	탓/NNG + 이/VCP + 다/EF + ./SF

외국인들은	외국인/NNG + 들/XSN + 은/JX
전날에	전날/NNG + 에/JKB
이어	잇/VV + 어/EC
순매도	순매도/NNG
기조를	기조/NNG + 를/JKO
이어가	이어/MAG + 가/JKS
증권거래소	증권/NNG + 거래소/NNG
시장에서	시장/NNG + 에서/JKB
2761억원어치의	27/SN + 61/SN + 억/NR + 원/NNB + 어치/NNG + 의/JKG
주식을	주식/NNG + 을/JKO
순매도했다.	순매도/NNG + 하/XSV + 았/EP + 다/EF + ./SF

이는	이/NP + 는/JX
지난	지나/VV + ㄴ/ETM
3월9일	3/SN + 월/NNB + 9/SN + 일/NNB
2997억원어치를	29/SN + 97/SN + 억/NR + 원/NNB + 어치/NNG + 를/JKO
매도한	매도/NNG + 하/XSV + ㄴ/ETM
이후	이후/NNG
가장	가장/MAG
큰	크/VA + ㄴ/ETM
규모다.	규모/NNG + 이/VCP + 다/EF + ./SF

특히	특히/MAG
시가총액	시가/NNG + 총액/NNG
비중이	비중/NNG + 이/JKS
높은	높/VA + 은/ETM
삼성전자	삼성전자/NNP
주식을	주식/NNG + 을/JKO
1993억원어치나	1993/SN + 억/NR + 원/NNB + 어치/NNG + 나/JX
집중	집중/NNG
매도함으로써	매도/NNG + 하/XSV + ㅁ/ETN + 으로써/JKB
주가지수	주가/NNG + 지수/NNG
낙폭을	낙폭/NNG + 을/JKO
키웠다.	키우/VV + 었/EP + 다/EF + ./SF

삼성전자는	삼성전자/NNP + 는/JX
이날	이날/NNG
2만5000원(8.03%)	2/SN + 만/NR + 5000/SN + 원/NNB + (/SS + 8/SN + ./SP + 03/SN + %/SW + )/SS
하락,	하락/NNG + ,/SP
28만원대로	28/SN + 만/NR + 원/NNB + 대로/JX
내려	내리/VV + 어/EC
앉았다.	앉/VV + 았/EP + 다/EF + ./SF

최근	최근/NNG
외국인들의	외국인/NNG + 들/XSN + 의/JKG
매매	매매/NNG
패턴은	패턴/NNG + 은/JX
미국	미국/NNP
나스닥시장의	나스닥/NNG + 시장/NNG + 의/JKG
동향에	동향/NNG + 에/JKB
따라	따르/VV + 아/EC
수시로	수시로/MAG
변하고	변하/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

지난	지나/VV + ㄴ/ETM
25일에도	25/SN + 일/NNB + 에/JKB + 도/JX
나스닥지수가	나스닥/NNG + 지수/NNG + 가/JKS
비교적	비교/NNG + 적/XSN
큰	크/VA + ㄴ/ETM
폭으로	폭/NNG + 으로/JKB
하락하자	하락/NNG + 하/XSV + 자/EC
1230억원어치의	1230/SN + 억/NR + 원/NNB + 어치/NNG + 의/JKG
주식을	주식/NNG + 을/JKO
매도했고,	매도/NNG + 하/XSV + 았/EP + 고/EC + ,/SP
26일에는	26/SN + 일/NNB + 에/JKB + 는/JX
전날	전날/NNG
나스닥지수가	나스닥/NNG + 지수/NNG + 가/JKS
반등하자	반등/NNG + 하/XSV + 자/EC
812억원어치를	812/SN + 억/NR + 원/NNB + 어치/NNG + 를/JKO
순매수했다.	순/MM + 매수/NNG + 하/XSV + 았/EP + 다/EF + ./SF

반도체주를	반도체/NNG + 주/NNG + 를/JKO
비롯한	비롯/XR + 하/XSV + ㄴ/ETM
기술주	기술/NNG + 주/NNG
매도공세는	매도/NNG + 공세/NNG + 는/JX
다른	다른/MM
아시아증시에서도	아시아/NNP + 증시/NNG + 에서/JKB + 도/JX
이어져	이어지/VV + 어/EC
도쿄	도쿄/NNP + (/SS + 동경/NNP + )/SS
증시의	증시/NNG + 의/JKG
닛케이평균주가와	닛케이/NNG + 평균/NNG + 주가/NNG + 와/JC
홍콩증시의	홍콩/NNP + 증시/NNG + 의/JKG
항셍지수도	항셍/NNG + 지수/NNG + 도/JX
급락했다.	급락/NNG + 하/XSV + 았/EP + 다/EF + ./SF

특히	특히/MAG
닛케이평균은	닛케이/NNG + 평균/NNG + 은/JX
이날	이날/NNG
343.44엔(2.12%)	34/SN + 3/SN + ./SP + 44/SN + 엔/NNB + (/SS + 2/SN + ./SP + 12/SN + %/SW + )/SS
떨어지면서	떨어지/VV + 면서/EC
올해	올해/NNG
최저치를	최저/NNG + 치/XSN + 를/JKO
경신했다.	경신/NNG + 하/XSV + 았/EP + 다/EF + ./SF

증시전문가들은	증시/NNG + 전문가/NNG + 들/XSN + 은/JX
따라서	따라서/MAJ
외국인들의	외국인/NNG + 들/XSN + 의/JKG
매매	매매/NNG
패턴이	패턴/NNG + 이/JKS
한국	한국/NNP
주식만	주식/NNG + 만/JX
집중적으로	집중/NNG + 적/XSN + 으로/JKB
내다파는	내/VV + 다/EC + 팔/VV + 는/ETM
'셀	'/SS + 셀/NNP
코리아'(Sell	코리아/NNP + '/SS + (/SS + Sell/SL
Korea)는	Korea/SL + )/SS + 는/JX
아닌	아니/VCN + ㄴ/ETM
것으로	것/NNB + 으로/JKB
관측하고	관측/NNG + 하/XSV + 고/EC
있다.	있/VX + 다/EF + ./SF

외국인들은	외국인/NNG + 들/XSN + 은/JX
올들어	올/NNG + 들/VV + 어/EC
10조원	10/SN + 조/NR + 원/NNB
이상의	이상/NNG + 의/JKG
주식을	주식/NNG + 을/JKO
증권거래소시장에서	증권/NNG + 거래소/NNG + 시장/NNG + 에서/JKB
순매수했기	순/MM + 매수/NNG + 하/XSV + 았/EP + 기/ETN
때문에	때문/NNB + 에/JKB
이	이/MM
물량이	물량/NNG + 이/JKS
시장에	시장/NNG + 에/JKB
쏟아질	쏟아지/VV + ㄹ/ETM
경우,	경우/NNG + ,/SP
한국	한국/NNP
증시는	증시/NNG + 는/JX
엄청난	엄청나/VA + ㄴ/ETM
타격을	타격/NNG + 을/JKO
입게	입/VV + 게/EC
된다.	되/VV + ㄴ다/EF + ./SF

WI카증권	WI/SL + 카증권/NNP
김기태	김기태/NNP
이사는	이사/NNG + 는/JX
"외국인들의	"/SS + 외국인/NNG + 들/XSN + 의/JKG
매매	매매/NNG
패턴으로	패턴/NNG + 으로/JKB
볼	보/VV + ㄹ/ETM
때,	때/NNG + ,/SP
최근	최근/NNG
매도공세를	매도/NNG + 공세/NNG + 를/JKO
서울	서울/NNP
증시	증시/NNG
이탈의	이탈/NNG + 의/JKG
시그널로	시그널/NNG + 로/JKB
받아들일	받아들이/VV + ㄹ/ETM
수는	수/NNB + 는/JX
없으며,	없/VA + 으며/EC + ,/SP
나스닥시장이	나스닥/NNG + 시장/NNG + 이/JKS
반등하면	반등/NNG + 하/XSV + 면/EC
다시	다시/MAG
순매수로	순/MM + 매수/NNG + 로/JKB
돌아설	돌아서/VV + ㄹ/ETM
공산이	공산/NNG + 이/JKS
크다"고	크/VA + 다/EC + "/SS + 고/JKQ
밝혔다.	밝히/VV + 었/EP + 다/EF + ./SF

문제는	문제/NNG + 는/JX
종잡을	종잡/VV + 을/ETM
수	수/NNB
없는	없/VA + 는/ETM
외국인들의	외국인/NNG + 들/XSN + 의/JKG
매매	매매/NNG
패턴에	패턴/NNG + 에/JKB
대응할	대응/NNG + 하/XSV + ㄹ/ETM
국내	국내/NNG
투자주체의	투자/NNG + 주체/NNG + 의/JKG
힘이	힘/NNG + 이/JKS
크게	크/VA + 게/EC
달린다는	달리/VV + ㄴ다는/ETM
점.	점/NNG + ./SF

이날	이날/NNG
국내	국내/NNG
기관투자가와	기관/NNG + 투자가/NNG + 와/JC
개인투자자들은	개인/NNG + 투자자/NNG + 들/XSN + 은/JX
각각	각각/MAG
1101억원과	1101/SN + 억/NR + 원/NNB + 과/JKB
1473억원어치를	1473/SN + 억/NR + 원/NNB + 어치/NNG + 를/JKO
순매수해	순/MM + 매수/NNG + 하/XSV + 아/EC
외국인	외국인/NNG + ,/SP
매도세에	매도/NNG + 세/NNG + 에/JKB
대항했으나	대항/NNG + 하/XSV + 았/EP + 으나/EC
역부족이었다.	역부족/NNG + 이/VCP + 었/EP + 다/EF + ./SF

특히	특히/MAG
투신사들은	투신사/NNG + 들/XSN + 은/JX
이날도	이날/NNG + 도/JX
73억원어치의	73/SN + 억/NR + 원/NNB + 어치/NNG + 의/JKG
주식을	주식/NNG + 을/JKO
순매도함으로써	순매도/NNG + 하/XSV + ㅁ/ETN + 으로써/JKB
자금	자금/NNG
부족에	부족/NNG + 에/JKB
따른	따르/VV + ㄴ/ETM
무기력증을	무/XPN + 기력/NNG + 증/NNG + 을/JKO
여실히	여실히/MAG
보여줬다.	보이/VV + 어/EC + 주/VX + 었/EP + 다/EF + ./SF

서울	서울/NNP
증시의	증시/NNG + 의/JKG
향후	향후/NNG
전망은	전망/NNG + 은/JX
극히	극히/MAG
불투명하다.	불/XPN + 투명/NNG + 하/XSA + 다/EF + ./SF

시장이	시장/NNG + 이/JKS
나스닥시장과	나스닥/NNG + 시장/NNG + 과/JC
외국인에	외국인/NNG + 에/JKB
의해	의하/VV + 아/EC
좌우됨으로써	좌우/NNG + 되/XSV + ㅁ/ETN + 으로써/JKB
펀더멘털(기초체력)과	펀더멘털/NNG + (/SS + 기초/NNG + 체력/NNG + )/SS + 과/JC
지수	지수/NNG
흐름에	흐름/NNG + 에/JKB
따른	따르/VV + ㄴ/ETM
분석은	분석/NNG + 은/JX
무용지물(무용지물)로	무용지물/NNG + (/SS + 무용지물/NNG + )/SS + 로/JKB
전락했기	전락/NNG + 하/XSV + 았/EP + 기/ETN
때문이다.	때문/NNB + 이/VCP + 다/EF + ./SF

KTB자산운용	KTB/SL + 자산/NNG + 운용/NNG
장인환	장인환/NNP
사장은	사장/NNG + 은/JX
"외부의	"/SS + 외부/NNG + 의/JKG
충격에	충격/NNG + 에/JKB
신축적으로	신축/NNG + 적/XSN + 으로/JKB
대응할	대응/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있는	있/VV + 는/ETM
유일한	유일/NNG + 하/XSA + ㄴ/ETM
방법은	방법/NNG + 은/JX
현대그룹	현대그룹/NNP
사태	사태/NNG
등	등/NNB
내부의	내부/NNG + 의/JKG
악재(악재)를	악재/NNG + (/SS + 악재/NNG + )/SS + 를/JKO
우선	우선/MAG
해결하는	해결/NNG + 하/XSV + 는/ETM
길	길/NNG
뿐"이라고	뿐/JX + "/SS + 이라고/JKQ
지적했다.	지적/NNG + 하/XSV + 았/EP + 다/EF + ./SF

13면	13/SN + 면/NNG
45판	45/SN + 판/NNB
728자	728/SN + 자/NNG

서울시가	서울시/NNP + 가/JKS
지난	지나/VV + ㄴ/ETM
98년부터	98/SN + 년/NNB + 부터/JX
야심적으로	야심/NNG + 적/XSN + 으로/JKB
추진중인	추진/NNG + 중/NNB + 이/VCP + ㄴ/ETM
서울국제컴퓨터문화축제	서울/NNP + 국제/NNG + 컴퓨터/NNG + 문화/NNG + 축제/NNG
행사가	행사/NNG + 가/JKS
졸속행사라는	졸속/NNG + 행사/NNG + 이/VCP + 라는/ETM
비판을	비판/NNG + 을/JKO
받고	받/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

지난	지나/VV + ㄴ/ETM
22일부터	22/SN + 일/NNB + 부터/JX
27일까지	27/SN + 일/NNB + 까지/JX
서울	서울/NNP
삼성동	삼성동/NNP
한국종합전시장(COEX)에서	한국종합전시장/NNP + (/SS + COEX/SL + )/SS + 에서/JKB
열린	열리/VV + ㄴ/ETM
제3회	제/XPN + 3/SN + 회/NNB
서울국제컴퓨터문화축제는	서울/NNP + 국제/NNG + 컴퓨터/NNG + 문화/NNG + 축제/NNG + 는/JX
컴퓨터	컴퓨터/NNG
분야	분야/NNG
벤처기업과	벤처/NNG + 기업/NNG + 과/JC
대학,	대학/NNG + ,/SP
관람객	관람객/NNG
모두를	모두/NNG + 를/JKO
어우르는	어우르/VV + 는/ETM
축제를	축제/NNG + 를/JKO
표방했으나	표방/NNG + 하/XSV + 았/EP + 으나/EC
청바지나	청바지/NNG + 나/JC
건강식품	건강식품/NNG
판매회사들이	판매/NNG + 회사/NNG + 들/XSN + 이/JKS
많은	많/VA + 은/ETM
부스를	부스/NNG + 를/JKO
차지하는	차지/NNG + 하/XSV + 는/ETM
등	등/NNB
원래	원래/NNG
의도와	의도/NNG + 와/JKB
크게	크/VA + 게/EC
다른	다른/MM
모습을	모습/NNG + 을/JKO
보였다.	보이/VV + 었/EP + 다/EF + ./SF

서울시가	서울시/NNP + 가/JKS
주최한	주최/NNG + 하/XSV + ㄴ/ETM
이	이/MM
행사에는	행사/NNG + 에/JKB + 는/JX
총	총/MM
100여개	100/SN + 여/XSN + 개/NNB
업체가	업체/NNG + 가/JKS
참가,	참가/NNG + ,/SP
한평반	한/MM + 평/NNB + 반/NNG
규모의	규모/NNG + 의/JKG
부스당	부스/NNG + 당/XSN
180만원	180/SN + 만/NR + 원/NNB
안팎의	안팎/NNG + 의/JKG
비용을	비용/NNG + 을/JKO
부담했다.	부담/NNG + 하/XSV + 았/EP + 다/EF + ./SF

하지만	하지만/MAJ
실제	실제/NNG
'컴퓨터	'/SS + 컴퓨터/NNG
문화'와	문화/NNG + '/SS + 와/JKB
관련된	관련/NNG + 되/XSV + ㄴ/ETM
업체는	업체/NNG + 는/JX
절반	절반/NNG
정도에	정도/NNG + 에/JKB
그쳤고,	그치/VV + 었/EP + 고/EC + ,/SP
전시장	전시장/NNG
곳곳에는	곳곳/NNG + 에/JKB + 는/JX
청바지,	청바지/NNG + ,/SP
건강식품,	건강식품/NNG + ,/SP
방향제,	방향제/NNG + ,/SP
미백치약	미백치약/NNG
등	등/NNB
컴퓨터와	컴퓨터/NNG + 와/JC
상관없는	상관없/VA + 는/ETM
제품을	제품/NNG + 을/JKO
판매하고	판매/NNG + 하/XSV + 고/EC
있었다.	있/VX + 었/EP + 다/EF + ./SF

전시회에	전시회/NNG + 에/JKB
참가한	참가/NNG + 하/XSV + ㄴ/ETM
하이텔	하이텔/NNP
중국학동호회	중국학/NNG + 동호회/NNG
운영자	운영자/NNG
전민수씨는	전민수/NNP + 씨/NNB + 는/JX
"국제적인	"/SS + 국제/NNG + 적/XSN + 이/VCP + ㄴ/ETM
컴퓨터	컴퓨터/NNG
문화를	문화/NNG + 를/JKO
어우를	어우르/VV + ㄹ/ETM
수	수/NNB
있는	있/VV + 는/ETM
전시회로	전시회/NNG + 로/JKB
기대했는데	기대/NNG + 하/XSV + 았/EP + 는데/EC
실망이	실망/NNG + 이/JKS
크다"며	크/VA + 다/EC + "/SS + 며/EC
"굳이	"/SS + 굳이/MAG
비싼	비싸/VA + ㄴ/ETM
돈을	돈/NNG + 을/JKO
들여	들이/VV + 어/EC
이런	이런/MM
전시회를	전시회/NNG + 를/JKO
하는	하/VV + 는/ETM
이유를	이유/NNG + 를/JKO
모르겠다"고	모르/VV + 겠/EP + 다/EC + "/SS + 고/JKQ
말했다.	말/NNG + 하/XSV + 았/EP + 다/EF + ./SF

이에	이/NP + 에/JKB
대해	대하/VV + 아/EC
서울시	서울시/NNP
홍보담당관실	홍보/NNG + 담당관실/NNG
홍세표	홍세표/NNP
계장은	계장/NNG + 은/JX
"업체	"/SS + 업체/NNG
선정은	선정/NNG + 은/JX
주관사가	주관사/NNG + 가/JKS
결정해	결정/NNG + 하/XSV + 아/EC
서울시가	서울시/NNP + 가/JKS
일절	일절/MAG
관여하지	관여/NNG + 하/XSV + 지/EC
않았다"며	않/VX + 았/EP + 다/EC + "/SS + 며/EC
"외국	"/SS + 외국/NNG
업체를	업체/NNG + 를/JKO
계속	계속/MAG
접촉해	접촉/NNG + 하/XSV + 아/EC
봤으나	보/VX + 았/EP + 으나/EC
성과가	성과/NNG + 가/JKS
없었다"고	없/VA + 었/EP + 다/EC + "/SS + 고/JKQ
말했다.	말/NNG + 하/XSV + 았/EP + 다/EF + ./SF

행사를	행사/NNG + 를/JKO
진행한	진행/NNG + 하/XSV + ㄴ/ETM
서울국제컴퓨터문화축제	서울/NNP + 국제/NNG + 컴퓨터/NNG + 문화/NNG + 축제/NNG
조직위	조직위/NNG
이원진	이원진/NNP
팀장은	팀장/NNG + 은/JX
"원래	"/SS + 원래/NNG
중국에서	중국/NNP + 에서/JKB
16개	16/SN + 개/NNB
업체가	업체/NNG + 가/JKS
참여하기로	참여/NNG + 하/XSV + 기/ETN + 로/JKB
했으나,	하/VV + 았/EP + 으나/EC + ,/SP
정부에서	정부/NNG + 에서/JKB
비자	비자/NNG
발급을	발급/NNG + 을/JKO
해주지	하/VV + 아/EC + 주/VX + 지/EC
않아	않/VX + 아/EC
급하게	급하/VA + 게/EC
업체	업체/NNG
수를	수/NNG + 를/JKO
채우다	채우/VV + 다/EC
보니	보/VX + 니/EC
무리가	무리/NNG + 가/JKS
생겼다"고	생기/VV + 었/EP + 다/EC + "/SS + 고/JKQ
말했다.	말/NNG + 하/XSV + 았/EP + 다/EF + ./SF

11면	11/SN + 면/NNG
45판	45/SN + 판/NNB
1643자	1643/SN + 자/NNG

홈페이지	홈페이지/NNG
제작	제작/NNG
소프트웨어	소프트웨어/NNG
업체인	업체/NNG + 이/VCP + ㄴ/ETM
나모	나모/NNP
인터랙티브는	인터랙티브/NNG + 는/JX
8월	8/SN + 월/NNB
초순	초순/NNG
중국어판을	중국어판/NNG + 을/JKO
내놓는다.	내놓/VV + 는다/EF + ./SF

7월	7/SN + 월/NNB
일본어판을	일본어판/NNG + 을/JKO
출시한	출시/NNG + 하/XSV + ㄴ/ETM
데	데/NNB
이어	잇/VV + 어/EC
올해	올해/NNG
안으로	안/NNG + 으로/JKB
영어·프랑스어·독일어·스페인어·포르투갈어·이탈리아어	영어/NNP + ·/SP + 프랑스어/NNP + ·/SP + 독일어/NNP + ·/SP + 스페인어/NNP + ·/SP + 포르투갈어/NNP + ·/SP + 이탈리아어/NNP
등	등/NNB
총	총/MM
9개국	9/SN + 개국/NNB
버전으로	버전/NNG + 으로/JKB
제품을	제품/NNG + 을/JKO
출시할	출시/NNG + 하/XSV + ㄹ/ETM
예정이다.	예정/NNG + 이/VCP + 다/EF + ./SF

작년	작년/NNG
영어·일어·불어판을	영어/NNP + ·/SP + 일어/NNP + ·/SP + 불어판/NNG + 을/JKO
내	내/VV + 어/EC
3억원어치를	3/SN + 억/NR + 원/NNB + 어치/NNG + 를/JKO
수출한	수출/NNG + 하/XSV + ㄴ/ETM
나모는	나/NP + 모으/VV + 는/ETM
올해	올해/NNG
수출	수출/NNG
목표를	목표/NNG + 를/JKO
40억원으로	40/SN + 억/NR + 원/NNB + 으로/JKB
13배나	13/SN + 배/NNG + 나/JX
높게	높/VA + 게/EC
잡았다.	잡/VV + 았/EP + 다/EF + ./SF

나모의	나모/NNP + 의/JKG
박흥호	박흥호/NNP
사장은	사장/NNG + 은/JX
"2002년부터는	"/SS + 2002/SN + 년/NNB + 부터/JX + 는/JX
전	전/MM
세계	세계/NNG
홈페이지	홈페이지/NNG
제작도구	제작/NNG + 도구/NNG
시장의	시장/NNG + 의/JKG
5%	5/SN + %/SW
이상을	이상/NNG + 을/JKO
점유할	점유/NNG + 하/XSV + ㄹ/ETM
계획"이라고	계획/NNG + "/SS + 이라고/JKQ
말했다.	말/NNG + 하/XSV + 았/EP + 다/EF + ./SF

코스닥	코스닥/NNG
폭락과	폭락/NNG + 과/JC
민간	민간/NNG
투자	투자/NNG
급감으로	급감/NNG + 으로/JKB
자금난을	자금난/NNG + 을/JKO
겪고	겪/VV + 고/EC
있는	있/VX + 는/ETM
정보통신(IT)	정보/NNG + 통신/NNG + (/SS + IT/SL + )/SS
벤처기업이	벤처/NNG + 기업/NNG + 이/JKS
해외	해외/NNG
진출로	진출/NNG + 로/JKB
새로운	새롭/VA + ㄴ/ETM
돌파구를	돌파구/NNG + 를/JKO
찾고	찾/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

수출시장도	수출/NNG + 시장/NNG + 도/JX
미국	미국/NNP
일변도를	일변도/NNG + 를/JKO
탈피,	탈피/NNG + ,/SP
중국·동남아·유럽	중국/NNP + ·/SP + 동남아/NNP + ·/SP + 유럽/NNP
등으로	등/NNB + 으로/JKB
다양화하고	다양/NNG + 화/XSN + 하/XSV + 고/EC
있다.	있/VX + 다/EF + ./SF

정보통신부도	정보/NNG + 통신부/NNG + 도/JX
8월	8/SN + 월/NNB
말	말/NNG
이스라엘과	이스라엘/NNP + 과/JC
말레이시아를	말레이시아/NNP + 를/JKO
시작으로	시작/NNG + 으로/JKB
인도·태국·필리핀·미국·영국	인도/NNP + ·/SP + 태국/NNP + ·/SP + 필리핀/NNP + ·/SP + 미국/NNP + ·/SP + 영국/NNP
등에	등/NNB + 에/JKB
대규모	대/XPN + 규모/NNG
IT	IT/SL
시장개척단을	시장/NNG + 개척단/NNG + 을/JKO
파견할	파견/NNG + 하/XSV + ㄹ/ETM
계획이다.	계획/NNG + 이/VCP + 다/EF + ./SF

정보통신부는	정보/NNG + 통신부/NNG + 는/JX
IT분야	IT/SL + 분야/NNG
중소·벤처	중소/NNG + ·/SP + 벤처/NNG
100개	100/SN + 개/NNB
기업을	기업/NNG + 을/JKO
조사,	조사/NNG + ,/SP
올해	올해/NNG
수출	수출/NNG
예상액이	예상액/NNG + 이/JKS
2조3670억원으로	2/SN + 조/NR + 36/SN + 70/SN + 억/NR + 원/NNB + 으로/JKB
99년보다	99/SN + 년/NNB + 보다/JKB
128%	128/SN + %/SW
늘어날	늘어나/VV + ㄹ/ETM
것으로	것/NNB + 으로/JKB
내다봤다.	내다보/VV + 았/EP + 다/EF + ./SF

네트워크	네트워크/NNG
소프트웨어	소프트웨어/NNG
개발업체	개발/NNG + 업체/NNG
(주)버추얼텍	(/SS + 주/NNG + )/SS + 버추얼텍/NNP
임효철(34)	임효철/NNP + (/SS + 34/SN + )/SS
재무팀장은	재무/NNG + 팀장/NNG + 은/JX
"해외시장에서	"/SS + 해외/NNG + 시장/NNG + 에서/JKB
기술력을	기술력/NNG + 을/JKO
검증	검증/NNG
받아야	받/VV + 아야/EC
생존할	생존/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있다"면서,	있/VV + 다/EC + "/SS + 면서/EC + ,/SP
"국내시장으로는	"/SS + 국내/NNG + 시장/NNG + 으로/JKB + 는/JX
한계가	한계/NNG + 가/JKS
있고,	있/VV + 고/EC + ,/SP
투자자들의	투자자/NNG + 들/XSN + 의/JKG
신뢰를	신뢰/NNG + 를/JKO
회복하기	회복/NNG + 하/XSV + 기/ETN
위해서라도	위하/VV + 아서라도/EC
해외시장에서	해외/NNG + 시장/NNG + 에서/JKB
인정	인정/NNG
받아야	받/VV + 아야/EC
한다"고	하/VX + ㄴ다/EC + "/SS + 고/JKQ
말했다.	말/NNG + 하/XSV + 았/EP + 다/EF + ./SF

닷컴기업들의	닷컴/NNG + 기업/NNG + 들/XSN + 의/JKG
해외진출도	해외/NNG + 진출/NNG + 도/JX
활발하다.	활발/XR + 하/XSA + 다/EF + ./SF

네이버컴은	네이버컴/NNP + 은/JX
인도네시아에	인도네시아/NNP + 에/JKB
'네이버'라는	'/SS + 네이버/NNP + '/SS + 이/VCP + 라는/ETM
브랜드를	브랜드/NNG + 를/JKO
수출해	수출/NNG + 하/XSV + 아/EC
지사를	지사/NNG + 를/JKO
설립하고	설립/NNG + 하/XSV + 고/EC
다국어	다국어/NNG
검색	검색/NNG
솔루션을	솔루션/NNG + 을/JKO
60만달러에	60/SN + 만/NR + 달러/NNB + 에/JKB
수출하기로	수출/NNG + 하/XSV + 기/ETN + 로/JKB
했다.	하/VV + 았/EP + 다/EF + ./SF

다음커뮤니케이션은	다음커뮤니케이션/NNP + 은/JX
일본	일본/NNP
지사를	지사/NNG + 를/JKO
설립,	설립/NNG + ,/SP
8월	8/SN + 월/NNB
초	초/NNB
'다음	'/SS + 다음/NNP
재팬'	재팬/NNP + '/SS
사이트를	사이트/NNG + 를/JKO
열기로	열/VV + 기/ETN + 로/JKB
했다.	하/VV + 았/EP + 다/EF + ./SF

또	또/MAG
한컴리눅스는	한컴리눅스/NNP + 는/JX
자체	자체/NNG
개발한	개발/NNG + 하/XSV + ㄴ/ETM
중국어	중국어/NNP
리눅스	리눅스/NNG
워드프로세서	워드/NNG + 프로세서/NNG
'문걸'을	'/SS + 문걸/NNG + '/SS + 을/JKO
중국	중국/NNP
최대의	최대/NNG + 의/JKG
PC제조업체	PC/SL + 제조/NNG + 업체/NNG
롄샹그룹에	롄샹그룹/NNP + 에/JKB
연간	연간/NNG
50만개를	50/SN + 만/NR + 개/NNB + 를/JKO
납품하는	납품/NNG + 하/XSV + 는/ETM
등	등/NNB
중국	중국/NNP
5대	5/SN + 대/NNG
리눅스업체와	리눅스/NNG + 업체/NNG + 와/JC
계약을	계약/NNG + 을/JKO
체결했고,	체결/NNG + 하/XSV + 았/EP + 고/EC + ,/SP
안철수	안철수/NNP
바이러스연구소도	바이러스/NNG + 연구소/NNG + 도/JX
새로	새로/MAG
영입한	영입/NNG + 하/XSV + ㄴ/ETM
부사장을	부사장/NNG + 을/JKO
중심으로	중심/NNG + 으로/JKB
중국시장을	중국/NNP + 시장/NNG + 을/JKO
본격	본격/NNG
공략하고	공략/NNG + 하/XSV + 고/EC
있다.	있/VX + 다/EF + ./SF

한컴리눅스	한컴리눅스/NNP
박상현사장은	박상현/NNP + 사장/NNG + 은/JX
"거대한	"/SS + 거대/NNG + 하/XSA + ㄴ/ETM
중국시장을	중국/NNP + 시장/NNG + 을/JKO
선점하기	선점/NNG + 하/XSV + 기/ETN
위해	위하/VV + 아/EC
국내업체들이	국내/NNG + 업체/NNG + 들/XSN + 이/JKS
경쟁적으로	경쟁/NNG + 적/XSN + 으로/JKB
진출하고	진출/NNG + 하/XSV + 고/EC
있다"면서,	있/VX + 다/EC + "/SS + 면서/EC + ,/SP
"공동연구센터	"/SS + 공동/NNG + 연구/NNG + 센터/NNG
설립	설립/NNG
등	등/NNB
롄샹그룹과	롄샹그룹/NNP + 과/JC
기술	기술/NNG
협력관계를	협력/NNG + 관계/NNG + 를/JKO
구축할	구축/NNG + 하/XSV + ㄹ/ETM
계획"이라고	계획/NNG + "/SS + 이라고/JKQ
밝혔다.	밝히/VV + 었/EP + 다/EF + ./SF

지난	지나/VV + ㄴ/ETM
3월	3/SN + 월/NNB
미국	미국/NNP
통신업체	통신업체/NNG
유에스웨스트(US	유에스웨스트/NNP + (/SS + US/SL
WEST)에	WEST/SL + )/SS + 에/JKB
무선	무선/NNG
사내전산망	사내/NNG + 전산망/NNG
프로그램	프로그램/NNG
50만달러어치를	50/SN + 만/NR + 달러/NNB + 어치/NNG + 를/JKO
수출한	수출/NNG + 하/XSV + ㄴ/ETM
(주)버추얼텍은	(/SS + 주/NNG + )/SS + 버추얼텍/NNP + 은/JX
필리핀·인도네시아·태국	필리핀/NNP + ·/SP + 인도네시아/NNP + ·/SP + 태국/NNP
등	등/NNB
동남아시장	동남아/NNP + 시장/NNG
진출을	진출/NNG + 을/JKO
위해	위하/VV + 아/EC
최근	최근/NNG
시장조사를	시장/NNG + 조사/NNG + 를/JKO
끝내고	끝내/VV + 고/EC
제휴업체를	제휴/NNG + 업체/NNG + 를/JKO
물색하고	물색/NNG + 하/XSV + 고/EC
있다.	있/VX + 다/EF + ./SF

증권금융	증권/NNG + 금융/NNG
솔루션으로	솔루션/NNG + 으로/JKB
유명한	유명/NNG + 하/XSA + ㄴ/ETM
